area_code,year,scottish_health_survey_indicator,sex,percentage
S08000015,2016-2019,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female,38
S08000015,2016-2019,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male,40
S08000015,2016-2019,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All,36
S08000015,2016-2019,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female,36
S08000015,2016-2019,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Male,36
S08000015,2016-2019,Life satisfaction: Mode (8),All,25
S08000015,2016-2019,Life satisfaction: Mode (8),Female,26
S08000015,2016-2019,Life satisfaction: Mode (8),Male,24
S08000015,2016-2019,Obesity: Not obese,All,66
S08000015,2016-2019,Obesity: Not obese,Female,64
S08000015,2016-2019,Obesity: Not obese,Male,69
S08000015,2016-2019,Obesity: Obese,All,34
S08000015,2016-2019,Obesity: Obese,Female,36
S08000015,2016-2019,Obesity: Obese,Male,31
S08000015,2016-2019,Overweight: Not overweight or obese,All,30
S08000015,2016-2019,Overweight: Not overweight or obese,Female,32
S08000015,2016-2019,Overweight: Not overweight or obese,Male,27
S08000015,2016-2019,Overweight: Overweight (including obese),All,70
S08000015,2016-2019,Overweight: Overweight (including obese),Female,68
S08000015,2016-2019,Overweight: Overweight (including obese),Male,73
S08000015,2016-2019,Summary activity levels: Low activity,All,3
S08000015,2016-2019,Summary activity levels: Low activity,Female,3
S08000015,2016-2019,Summary activity levels: Low activity,Male,3
S08000015,2016-2019,Summary activity levels: Meets recommendations,All,58
S08000015,2016-2019,Summary activity levels: Meets recommendations,Female,55
S08000015,2016-2019,Summary activity levels: Meets recommendations,Male,63
S08000015,2016-2019,Summary activity levels: Some activity,All,10
S08000015,2016-2019,Summary activity levels: Some activity,Female,12
S08000015,2016-2019,Summary activity levels: Some activity,Male,8
S08000015,2016-2019,Summary activity levels: Very low activity,All,28
S08000015,2016-2019,Summary activity levels: Very low activity,Female,30
S08000015,2016-2019,Summary activity levels: Very low activity,Male,26
S08000016,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,All,18
S08000016,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,Female,16
S08000016,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,Male,20
S08000016,2015-2018,Any cardiovascular condition: No cardiovascular condition,All,82
S08000016,2015-2018,Any cardiovascular condition: No cardiovascular condition,Female,84
S08000016,2015-2018,Any cardiovascular condition: No cardiovascular condition,Male,80
S08000016,2015-2018,Obesity: Not obese,All,71
S08000016,2015-2018,Obesity: Not obese,Female,73
S08000016,2015-2018,Obesity: Not obese,Male,69
S08000016,2015-2018,Obesity: Obese,All,29
S08000016,2015-2018,Obesity: Obese,Female,27
S08000016,2015-2018,Obesity: Obese,Male,31
S08000016,2015-2018,Overweight: Not overweight or obese,All,35
S08000016,2015-2018,Overweight: Not overweight or obese,Female,40
S08000016,2015-2018,Overweight: Not overweight or obese,Male,28
S08000016,2015-2018,Overweight: Overweight (including obese),All,65
S08000016,2015-2018,Overweight: Overweight (including obese),Female,60
S08000016,2015-2018,Overweight: Overweight (including obese),Male,72
S08000016,2015-2018,Summary activity levels: Low activity,All,6
S08000016,2015-2018,Summary activity levels: Low activity,Female,6
S08000016,2015-2018,Summary activity levels: Low activity,Male,6
S08000016,2015-2018,Summary activity levels: Meets recommendations,All,61
S08000016,2015-2018,Summary activity levels: Meets recommendations,Female,59
S08000016,2015-2018,Summary activity levels: Meets recommendations,Male,64
S08000016,2015-2018,Summary activity levels: Some activity,All,13
S08000016,2015-2018,Summary activity levels: Some activity,Female,16
S08000016,2015-2018,Summary activity levels: Some activity,Male,9
S08000016,2015-2018,Summary activity levels: Very low activity,All,20
S08000016,2015-2018,Summary activity levels: Very low activity,Female,19
S08000016,2015-2018,Summary activity levels: Very low activity,Male,22
S08000016,2016-2019,Any cardiovascular condition: Has a cardiovascular condition,All,20
S08000016,2016-2019,Any cardiovascular condition: Has a cardiovascular condition,Female,18
S08000016,2016-2019,Any cardiovascular condition: Has a cardiovascular condition,Male,22
S08000016,2016-2019,Any cardiovascular condition: No cardiovascular condition,All,80
S08000016,2016-2019,Any cardiovascular condition: No cardiovascular condition,Female,82
S08000016,2016-2019,Any cardiovascular condition: No cardiovascular condition,Male,78
S08000016,2016-2019,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All,39
S08000016,2016-2019,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female,40
S08000016,2016-2019,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male,37
S08000016,2016-2019,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All,34
S08000016,2016-2019,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female,33
S08000016,2016-2019,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Male,36
S08000016,2016-2019,Life satisfaction: Mode (8),All,27
S08000016,2016-2019,Life satisfaction: Mode (8),Female,27
S08000016,2016-2019,Life satisfaction: Mode (8),Male,26
S08000016,2016-2019,Obesity: Not obese,All,72
S08000016,2016-2019,Obesity: Not obese,Female,74
S08000016,2016-2019,Obesity: Not obese,Male,68
S08000016,2016-2019,Obesity: Obese,All,28
S08000016,2016-2019,Obesity: Obese,Female,26
S08000016,2016-2019,Obesity: Obese,Male,32
S08000016,2016-2019,Overweight: Not overweight or obese,All,35
S08000016,2016-2019,Overweight: Not overweight or obese,Female,41
S08000016,2016-2019,Overweight: Not overweight or obese,Male,28
S08000016,2016-2019,Overweight: Overweight (including obese),All,65
S08000016,2016-2019,Overweight: Overweight (including obese),Female,59
S08000016,2016-2019,Overweight: Overweight (including obese),Male,72
S08000016,2016-2019,Summary activity levels: Low activity,All,5
S08000016,2016-2019,Summary activity levels: Low activity,Female,6
S08000016,2016-2019,Summary activity levels: Low activity,Male,4
S08000016,2016-2019,Summary activity levels: Meets recommendations,All,64
S08000016,2016-2019,Summary activity levels: Meets recommendations,Female,62
S08000016,2016-2019,Summary activity levels: Meets recommendations,Male,66
S08000016,2016-2019,Summary activity levels: Some activity,All,12
S08000016,2016-2019,Summary activity levels: Some activity,Female,15
S08000016,2016-2019,Summary activity levels: Some activity,Male,9
S08000016,2016-2019,Summary activity levels: Very low activity,All,19
S08000016,2016-2019,Summary activity levels: Very low activity,Female,17
S08000016,2016-2019,Summary activity levels: Very low activity,Male,21
S08000017,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,All,15
S08000017,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,Female,11
S08000017,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,Male,21
S08000017,2015-2018,Any cardiovascular condition: No cardiovascular condition,All,85
S08000017,2015-2018,Any cardiovascular condition: No cardiovascular condition,Female,89
S08000017,2015-2018,Any cardiovascular condition: No cardiovascular condition,Male,79
S08000017,2015-2018,Obesity: Not obese,All,65
S08000017,2015-2018,Obesity: Not obese,Female,67
S08000017,2015-2018,Obesity: Not obese,Male,63
S08000017,2015-2018,Obesity: Obese,All,35
S08000017,2015-2018,Obesity: Obese,Female,33
S08000017,2015-2018,Obesity: Obese,Male,37
S08000017,2015-2018,Overweight: Not overweight or obese,All,28
S08000017,2015-2018,Overweight: Not overweight or obese,Female,31
S08000017,2015-2018,Overweight: Not overweight or obese,Male,25
S08000017,2015-2018,Overweight: Overweight (including obese),All,72
S08000017,2015-2018,Overweight: Overweight (including obese),Female,69
S08000017,2015-2018,Overweight: Overweight (including obese),Male,75
S08000017,2015-2018,Summary activity levels: Low activity,All,3
S08000017,2015-2018,Summary activity levels: Low activity,Female,3
S08000017,2015-2018,Summary activity levels: Low activity,Male,2
S08000017,2015-2018,Summary activity levels: Meets recommendations,All,65
S08000017,2015-2018,Summary activity levels: Meets recommendations,Female,64
S08000017,2015-2018,Summary activity levels: Meets recommendations,Male,66
S08000017,2015-2018,Summary activity levels: Some activity,All,9
S08000017,2015-2018,Summary activity levels: Some activity,Female,10
S08000017,2015-2018,Summary activity levels: Some activity,Male,8
S08000017,2015-2018,Summary activity levels: Very low activity,All,23
S08000017,2015-2018,Summary activity levels: Very low activity,Female,22
S08000017,2015-2018,Summary activity levels: Very low activity,Male,23
S08000017,2016-2019,Any cardiovascular condition: Has a cardiovascular condition,All,16
S08000017,2016-2019,Any cardiovascular condition: Has a cardiovascular condition,Female,10
S08000017,2016-2019,Any cardiovascular condition: Has a cardiovascular condition,Male,21
S08000017,2016-2019,Any cardiovascular condition: No cardiovascular condition,All,84
S08000017,2016-2019,Any cardiovascular condition: No cardiovascular condition,Female,90
S08000017,2016-2019,Any cardiovascular condition: No cardiovascular condition,Male,79
S08000017,2016-2019,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All,41
S08000017,2016-2019,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female,43
S08000017,2016-2019,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male,40
S08000017,2016-2019,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All,33
S08000017,2016-2019,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female,32
S08000017,2016-2019,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Male,34
S08000017,2016-2019,Life satisfaction: Mode (8),All,26
S08000017,2016-2019,Life satisfaction: Mode (8),Female,25
S08000017,2016-2019,Life satisfaction: Mode (8),Male,26
S08000017,2016-2019,Obesity: Not obese,All,67
S08000017,2016-2019,Obesity: Not obese,Female,68
S08000017,2016-2019,Obesity: Not obese,Male,66
S08000017,2016-2019,Obesity: Obese,All,33
S08000017,2016-2019,Obesity: Obese,Female,32
S08000017,2016-2019,Obesity: Obese,Male,34
S08000017,2016-2019,Overweight: Not overweight or obese,All,28
S08000017,2016-2019,Overweight: Not overweight or obese,Female,32
S08000017,2016-2019,Overweight: Not overweight or obese,Male,24
S08000017,2016-2019,Overweight: Overweight (including obese),All,72
S08000017,2016-2019,Overweight: Overweight (including obese),Female,68
S08000017,2016-2019,Overweight: Overweight (including obese),Male,76
S08000017,2016-2019,Summary activity levels: Low activity,All,3
S08000017,2016-2019,Summary activity levels: Low activity,Female,3
S08000017,2016-2019,Summary activity levels: Low activity,Male,2
S08000017,2016-2019,Summary activity levels: Meets recommendations,All,66
S08000017,2016-2019,Summary activity levels: Meets recommendations,Female,65
S08000017,2016-2019,Summary activity levels: Meets recommendations,Male,66
S08000017,2016-2019,Summary activity levels: Some activity,All,12
S08000017,2016-2019,Summary activity levels: Some activity,Female,12
S08000017,2016-2019,Summary activity levels: Some activity,Male,11
S08000017,2016-2019,Summary activity levels: Very low activity,All,20
S08000017,2016-2019,Summary activity levels: Very low activity,Female,20
S08000017,2016-2019,Summary activity levels: Very low activity,Male,20
S08000019,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,All,15
S08000019,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,Female,14
S08000019,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,Male,16
S08000019,2015-2018,Any cardiovascular condition: No cardiovascular condition,All,85
S08000019,2015-2018,Any cardiovascular condition: No cardiovascular condition,Female,86
S08000019,2015-2018,Any cardiovascular condition: No cardiovascular condition,Male,84
S08000019,2015-2018,Obesity: Not obese,All,68
S08000019,2015-2018,Obesity: Not obese,Female,65
S08000019,2015-2018,Obesity: Not obese,Male,71
S08000019,2015-2018,Obesity: Obese,All,32
S08000019,2015-2018,Obesity: Obese,Female,35
S08000019,2015-2018,Obesity: Obese,Male,29
S08000019,2015-2018,Overweight: Not overweight or obese,All,35
S08000019,2015-2018,Overweight: Not overweight or obese,Female,35
S08000019,2015-2018,Overweight: Not overweight or obese,Male,34
S08000019,2015-2018,Overweight: Overweight (including obese),All,65
S08000019,2015-2018,Overweight: Overweight (including obese),Female,65
S08000019,2015-2018,Overweight: Overweight (including obese),Male,66
S08000019,2015-2018,Summary activity levels: Low activity,All,5
S08000019,2015-2018,Summary activity levels: Low activity,Female,7
S08000019,2015-2018,Summary activity levels: Low activity,Male,4
S08000019,2015-2018,Summary activity levels: Meets recommendations,All,63
S08000019,2015-2018,Summary activity levels: Meets recommendations,Female,58
S08000019,2015-2018,Summary activity levels: Meets recommendations,Male,68
S08000019,2015-2018,Summary activity levels: Some activity,All,12
S08000019,2015-2018,Summary activity levels: Some activity,Female,14
S08000019,2015-2018,Summary activity levels: Some activity,Male,11
S08000019,2015-2018,Summary activity levels: Very low activity,All,20
S08000019,2015-2018,Summary activity levels: Very low activity,Female,22
S08000019,2015-2018,Summary activity levels: Very low activity,Male,17
S08000019,2016-2019,Any cardiovascular condition: Has a cardiovascular condition,All,15
S08000019,2016-2019,Any cardiovascular condition: Has a cardiovascular condition,Female,14
S08000019,2016-2019,Any cardiovascular condition: Has a cardiovascular condition,Male,16
S08000019,2016-2019,Any cardiovascular condition: No cardiovascular condition,All,85
S08000019,2016-2019,Any cardiovascular condition: No cardiovascular condition,Female,86
S08000019,2016-2019,Any cardiovascular condition: No cardiovascular condition,Male,84
S08000019,2016-2019,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All,37
S08000019,2016-2019,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female,37
S08000019,2016-2019,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male,37
S08000019,2016-2019,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All,33
S08000019,2016-2019,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female,32
S08000019,2016-2019,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Male,34
S08000019,2016-2019,Life satisfaction: Mode (8),All,30
S08000019,2016-2019,Life satisfaction: Mode (8),Female,31
S08000019,2016-2019,Life satisfaction: Mode (8),Male,29
S08000019,2016-2019,Obesity: Not obese,All,69
S08000019,2016-2019,Obesity: Not obese,Female,66
S08000019,2016-2019,Obesity: Not obese,Male,71
S08000019,2016-2019,Obesity: Obese,All,31
S08000019,2016-2019,Obesity: Obese,Female,34
S08000019,2016-2019,Obesity: Obese,Male,29
S08000019,2016-2019,Overweight: Not overweight or obese,All,35
S08000019,2016-2019,Overweight: Not overweight or obese,Female,35
S08000019,2016-2019,Overweight: Not overweight or obese,Male,35
S08000019,2016-2019,Overweight: Overweight (including obese),All,65
S08000019,2016-2019,Overweight: Overweight (including obese),Female,65
S08000019,2016-2019,Overweight: Overweight (including obese),Male,65
S08000019,2016-2019,Summary activity levels: Low activity,All,5
S08000019,2016-2019,Summary activity levels: Low activity,Female,6
S08000019,2016-2019,Summary activity levels: Low activity,Male,4
S08000019,2016-2019,Summary activity levels: Meets recommendations,All,65
S08000019,2016-2019,Summary activity levels: Meets recommendations,Female,61
S08000019,2016-2019,Summary activity levels: Meets recommendations,Male,70
S08000019,2016-2019,Summary activity levels: Some activity,All,11
S08000019,2016-2019,Summary activity levels: Some activity,Female,11
S08000019,2016-2019,Summary activity levels: Some activity,Male,10
S08000019,2016-2019,Summary activity levels: Very low activity,All,19
S08000019,2016-2019,Summary activity levels: Very low activity,Female,22
S08000019,2016-2019,Summary activity levels: Very low activity,Male,16
S08000020,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,All,16
S08000020,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,Female,14
S08000020,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,Male,17
S08000020,2015-2018,Any cardiovascular condition: No cardiovascular condition,All,84
S08000020,2015-2018,Any cardiovascular condition: No cardiovascular condition,Female,86
S08000020,2015-2018,Any cardiovascular condition: No cardiovascular condition,Male,83
S08000020,2015-2018,Obesity: Not obese,All,71
S08000020,2015-2018,Obesity: Not obese,Female,71
S08000020,2015-2018,Obesity: Not obese,Male,72
S08000020,2015-2018,Obesity: Obese,All,29
S08000020,2015-2018,Obesity: Obese,Female,29
S08000020,2015-2018,Obesity: Obese,Male,28
S08000020,2015-2018,Overweight: Not overweight or obese,All,35
S08000020,2015-2018,Overweight: Not overweight or obese,Female,39
S08000020,2015-2018,Overweight: Not overweight or obese,Male,31
S08000020,2015-2018,Overweight: Overweight (including obese),All,65
S08000020,2015-2018,Overweight: Overweight (including obese),Female,61
S08000020,2015-2018,Overweight: Overweight (including obese),Male,69
S08000020,2015-2018,Summary activity levels: Low activity,All,4
S08000020,2015-2018,Summary activity levels: Low activity,Female,5
S08000020,2015-2018,Summary activity levels: Low activity,Male,4
S08000020,2015-2018,Summary activity levels: Meets recommendations,All,65
S08000020,2015-2018,Summary activity levels: Meets recommendations,Female,61
S08000020,2015-2018,Summary activity levels: Meets recommendations,Male,69
S08000020,2015-2018,Summary activity levels: Some activity,All,10
S08000020,2015-2018,Summary activity levels: Some activity,Female,11
S08000020,2015-2018,Summary activity levels: Some activity,Male,9
S08000020,2015-2018,Summary activity levels: Very low activity,All,20
S08000020,2015-2018,Summary activity levels: Very low activity,Female,23
S08000020,2015-2018,Summary activity levels: Very low activity,Male,18
S08000020,2016-2019,Any cardiovascular condition: Has a cardiovascular condition,All,16
S08000020,2016-2019,Any cardiovascular condition: Has a cardiovascular condition,Female,14
S08000020,2016-2019,Any cardiovascular condition: Has a cardiovascular condition,Male,18
S08000020,2016-2019,Any cardiovascular condition: No cardiovascular condition,All,84
S08000020,2016-2019,Any cardiovascular condition: No cardiovascular condition,Female,86
S08000020,2016-2019,Any cardiovascular condition: No cardiovascular condition,Male,82
S08000020,2016-2019,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All,37
S08000020,2016-2019,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female,38
S08000020,2016-2019,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male,36
S08000020,2016-2019,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All,32
S08000020,2016-2019,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female,30
S08000020,2016-2019,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Male,33
S08000020,2016-2019,Life satisfaction: Mode (8),All,32
S08000020,2016-2019,Life satisfaction: Mode (8),Female,32
S08000020,2016-2019,Life satisfaction: Mode (8),Male,31
S08000020,2016-2019,Obesity: Not obese,All,71
S08000020,2016-2019,Obesity: Not obese,Female,70
S08000020,2016-2019,Obesity: Not obese,Male,72
S08000020,2016-2019,Obesity: Obese,All,29
S08000020,2016-2019,Obesity: Obese,Female,30
S08000020,2016-2019,Obesity: Obese,Male,28
S08000020,2016-2019,Overweight: Not overweight or obese,All,34
S08000020,2016-2019,Overweight: Not overweight or obese,Female,38
S08000020,2016-2019,Overweight: Not overweight or obese,Male,31
S08000020,2016-2019,Overweight: Overweight (including obese),All,66
S08000020,2016-2019,Overweight: Overweight (including obese),Female,62
S08000020,2016-2019,Overweight: Overweight (including obese),Male,69
S08000020,2016-2019,Summary activity levels: Low activity,All,4
S08000020,2016-2019,Summary activity levels: Low activity,Female,5
S08000020,2016-2019,Summary activity levels: Low activity,Male,3
S08000020,2016-2019,Summary activity levels: Meets recommendations,All,66
S08000020,2016-2019,Summary activity levels: Meets recommendations,Female,62
S08000020,2016-2019,Summary activity levels: Meets recommendations,Male,71
S08000020,2016-2019,Summary activity levels: Some activity,All,9
S08000020,2016-2019,Summary activity levels: Some activity,Female,10
S08000020,2016-2019,Summary activity levels: Some activity,Male,9
S08000020,2016-2019,Summary activity levels: Very low activity,All,20
S08000020,2016-2019,Summary activity levels: Very low activity,Female,23
S08000020,2016-2019,Summary activity levels: Very low activity,Male,17
S08000022,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,All,16
S08000022,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,Female,17
S08000022,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,Male,16
S08000022,2015-2018,Any cardiovascular condition: No cardiovascular condition,All,84
S08000022,2015-2018,Any cardiovascular condition: No cardiovascular condition,Female,83
S08000022,2015-2018,Any cardiovascular condition: No cardiovascular condition,Male,84
S08000022,2015-2018,Obesity: Not obese,All,74
S08000022,2015-2018,Obesity: Not obese,Female,70
S08000022,2015-2018,Obesity: Not obese,Male,77
S08000022,2015-2018,Obesity: Obese,All,26
S08000022,2015-2018,Obesity: Obese,Female,30
S08000022,2015-2018,Obesity: Obese,Male,23
S08000022,2015-2018,Overweight: Not overweight or obese,All,32
S08000022,2015-2018,Overweight: Not overweight or obese,Female,34
S08000022,2015-2018,Overweight: Not overweight or obese,Male,29
S08000022,2015-2018,Overweight: Overweight (including obese),All,68
S08000022,2015-2018,Overweight: Overweight (including obese),Female,66
S08000022,2015-2018,Overweight: Overweight (including obese),Male,71
S08000022,2015-2018,Summary activity levels: Low activity,All,4
S08000022,2015-2018,Summary activity levels: Low activity,Female,4
S08000022,2015-2018,Summary activity levels: Low activity,Male,4
S08000022,2015-2018,Summary activity levels: Meets recommendations,All,66
S08000022,2015-2018,Summary activity levels: Meets recommendations,Female,62
S08000022,2015-2018,Summary activity levels: Meets recommendations,Male,71
S08000022,2015-2018,Summary activity levels: Some activity,All,10
S08000022,2015-2018,Summary activity levels: Some activity,Female,12
S08000022,2015-2018,Summary activity levels: Some activity,Male,8
S08000022,2015-2018,Summary activity levels: Very low activity,All,20
S08000022,2015-2018,Summary activity levels: Very low activity,Female,22
S08000022,2015-2018,Summary activity levels: Very low activity,Male,18
S08000022,2016-2019,Any cardiovascular condition: Has a cardiovascular condition,All,16
S08000022,2016-2019,Any cardiovascular condition: Has a cardiovascular condition,Female,16
S08000022,2016-2019,Any cardiovascular condition: Has a cardiovascular condition,Male,17
S08000022,2016-2019,Any cardiovascular condition: No cardiovascular condition,All,84
S08000022,2016-2019,Any cardiovascular condition: No cardiovascular condition,Female,84
S08000022,2016-2019,Any cardiovascular condition: No cardiovascular condition,Male,83
S08000022,2016-2019,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),All,42
S08000022,2016-2019,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Female,43
S08000022,2016-2019,Life satisfaction: Above the mode (9 to 10-Extremely satisfied),Male,41
S08000022,2016-2019,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),All,27
S08000022,2016-2019,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Female,26
S08000022,2016-2019,Life satisfaction: Below the mode (0-Extremely dissatisfied to 7),Male,28
S08000022,2016-2019,Life satisfaction: Mode (8),All,31
S08000022,2016-2019,Life satisfaction: Mode (8),Female,32
S08000022,2016-2019,Life satisfaction: Mode (8),Male,31
S08000022,2016-2019,Obesity: Not obese,All,72
S08000022,2016-2019,Obesity: Not obese,Female,69
S08000022,2016-2019,Obesity: Not obese,Male,74
S08000022,2016-2019,Obesity: Obese,All,28
S08000022,2016-2019,Obesity: Obese,Female,31
S08000022,2016-2019,Obesity: Obese,Male,26
S08000022,2016-2019,Overweight: Not overweight or obese,All,30
S08000022,2016-2019,Overweight: Not overweight or obese,Female,34
S08000022,2016-2019,Overweight: Not overweight or obese,Male,26
S08000022,2016-2019,Overweight: Overweight (including obese),All,70
S08000022,2016-2019,Overweight: Overweight (including obese),Female,66
S08000022,2016-2019,Overweight: Overweight (including obese),Male,74
S08000022,2016-2019,Summary activity levels: Low activity,All,3
S08000022,2016-2019,Summary activity levels: Low activity,Female,3
S08000022,2016-2019,Summary activity levels: Low activity,Male,3
S08000022,2016-2019,Summary activity levels: Meets recommendations,All,69
S08000022,2016-2019,Summary activity levels: Meets recommendations,Female,66
S08000022,2016-2019,Summary activity levels: Meets recommendations,Male,73
S08000022,2016-2019,Summary activity levels: Some activity,All,8
S08000022,2016-2019,Summary activity levels: Some activity,Female,10
S08000022,2016-2019,Summary activity levels: Some activity,Male,7
S08000022,2016-2019,Summary activity levels: Very low activity,All,19
S08000022,2016-2019,Summary activity levels: Very low activity,Female,21
S08000022,2016-2019,Summary activity levels: Very low activity,Male,18
S08000024,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,All,12
S08000024,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,Female,13
S08000024,2015-2018,Any cardiovascular condition: Has a cardiovascular condition,Male,11
S08000024,2015-2018,Any cardiovascular condition: No cardiovascular condition,All,88
S08000024,2015-2018,Any cardiovascular condition: No cardiovascular condition,Female,87
S08000024,2015-2018,Any cardiovascular condition: No cardiovascular condition,Male,89
S08000024,2015-2018,Obesity: Not obese,All,76
S08000024,2015-2018,Obesity: Not obese,Female,75
S08000024,2015-2018,Obesity: Not obese,Male,77
S08000024,2015-2018,Obesity: Obese,All,24
S08000024,2015-2018,Obesity: Obese,Female,25
S08000024,2015-2018,Obesity: Obese,Male,23
S08000024,2015-2018,Overweight: Not overweight or obese,All,43
S08000024,2015-2018,Overweight: Not overweight or obese,Female,46
S08000024,2015-2018,Overweight: Not overweight or obese,Male,40
S08000024,2015-2018,Overweight: Overweight (including obese),All,57
S08000024,2015-2018,Overweight: Overweight (including obese),Female,54
S08000024,2015-2018,Overweight: Overweight (including obese),Male,60
S08000024,2015-2018,Summary activity levels: Low activity,All,3
S08000024,2015-2018,Summary activity levels: Low activity,Female,4
S08000024,2015-2018,Summary activity levels: Low activity,Male,3
S08000024,2015-2018,Summary activity levels: Meets recommendations,All,70
S08000024,2015-2018,Summary activity levels: Meets recommendations,Female,66
S08000024,2015-2018,Summary activity levels: Meets recommendations,Male,74
S08000024,2015-2018,Summary activity levels: Some activity,All,10
S08000024,2015-2018,Summary activity levels: Some activity,Female,11
S08000024,2015-2018,Summary activity levels: Some activity,Male,9
S08000024,2015-2018,Summary activity levels: Very low activity,All,16
